"site","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","totObs","flag"
"MADEP_W0013_T1",17.263626053834,22.916963632108,14,2,0.0588235294117647,501.612304868325,0.571983035940204,49,""
"MADEP_W0014_T1",17.2389432180267,23.3540327226417,15,2,0.0588235294117647,467.25927409354,0.734798656637926,49,""
"MADEP_W0096_T1",22.8335947879095,24.1332443666202,69.5588235294118,34,1,249.938372041629,0.626620091310452,32,""
"MADEP_W0099_T1",22.875560517642,24.0635187188536,67.2941176470588,34,1,285.619108564964,0.548127046267527,32,""
"MADEP_W0124_T1",20.5404661072647,22.6839840676023,29.4411764705882,34,1,473.686587409392,0.525696143976159,32,""
"MADEP_W0128_T1",22.6141040819064,23.7261013332552,68.9411764705882,34,1,301.023220908777,0.714394355730353,32,""
"MADEP_W0221_T1",26.4409954148572,28.0810532050201,101.617647058824,34,1,171.166323897602,0.811586517268057,70,""
"MADEP_W0263_T1",24.3937871548992,25.7575453212893,80.2352941176471,34,1,146.325711732321,0.797086029690431,70,""
"MADEP_W0271_T1",20.9959597156101,22.3308312601035,34.5882352941176,34,1,288.15121357824,0.64082116643922,70,""
"MADEP_W0423_T1",25.8740185674269,27.6182550506061,95.6176470588235,34,1,146.556226795435,1.59962514250312,115,"Flag"
"MADEP_W0448_T1",21.0739146330905,24.0684513357413,29.6176470588235,34,1,538.368841632231,1.15800116033276,95,""
"MADEP_W0454_T1",23.028884253581,25.211308770718,72,34,1,289.260011290879,2.15944756083812,87,"Flag"
"MADEP_W0487_T1",24.6626326571706,26.3089485654113,91.0588235294118,34,1,187.051086509799,1.21662705203492,84,""
"MADEP_W0494_T1",25.6160616736245,27.4619486877294,96.9411764705882,34,1,212.75548970685,1.14699973991646,97,""
"MADEP_W0514_T1",22.1434815185904,25.0713266509634,71.8235294117647,34,1,293.270153328915,1.39896532942907,108,""
"MADEP_W0557_T1",24.9258341179841,26.6939038639069,91.7058823529412,34,1,169.973751926426,0.826833400327186,98,""
"MADEP_W0568_T1",26.9564678608963,28.7347496316555,115.352941176471,34,1,212.546321284681,0.598273295857445,46,""
"MADEP_W0624_T1",23.1303176389078,24.504754173241,81.1176470588235,34,1,258.12942463258,0.730473438303213,100,""
"MADEP_W0661_T1",24.4035847935303,26.0283947526224,89.2647058823529,34,1,195.814690025324,0.776453199773067,100,""
"MADEP_W0665_T1",23.2093286496537,24.6771047551781,81.1764705882353,34,1,259.526689379102,0.710101704599254,100,""
"MADEP_W0889_T1",21.7834497131929,26.0415668150445,66.6764705882353,34,1,319.4266133591,1.00152621421244,95,""
"MADEP_W0989_T1",20.5622867147458,24.4923405073647,40.3529411764706,34,1,405.55363360512,0.473764042251695,23,""
"MADEP_W0995_T1",20.0860714334964,25.8501700405787,34.9705882352941,34,1,419.038754823006,1.26822137607275,84,""
"MADEP_W0998_T1",25.3160585160035,26.9004823999215,103.794117647059,34,1,194.974096504827,1.2124725870961,84,""
"MADEP_W1022_T1",23.1045602931626,24.4651088798717,79.0882352941177,34,1,243.997983731342,1.0833927287815,108,""
"MADEP_W1031_T1",26.554014329595,28.0265516353125,123.617647058824,34,1,289.45137906675,1.30620293690352,117,""
"MADEP_W1100_T1",25.8423104982789,27.2702313972911,116.911764705882,34,1,304.370748366788,1.0117672216574,112,""
"MADEP_W1113_T1",26.2733329143565,27.7316893725479,114.382352941176,34,1,287.08777963784,1.31138420391223,112,""
"MADEP_W1151_T1",27.0818189208713,28.7272253435139,118.441176470588,34,1,245.300686467467,0.887723743046602,115,""
"MADEP_W1157_T1",23.4014825878686,28.4860183762129,116.647058823529,34,1,267.129311034172,1.1395720982942,115,""
"MADEP_W1357_T1",20.7028817782623,22.6749224703962,35.5294117647059,34,1,358.955915597247,0.543887611451734,36,""
"MADEP_W1419_T1",26.5887215508737,28.3602063989716,99.4117647058823,34,1,185.507277600331,0.905078951686801,70,""
"MADEP_W1432_T1",26.2751858546348,27.8966209357694,111,34,1,218.088728421354,1.35561138959862,110,""
"MADEP_W1450_T1",23.2348969356037,24.6462075626803,69.6470588235294,34,1,170.072463955716,0.705342500906328,70,""
"MADEP_W1464_T1",26.0447553041632,27.591232838304,113,34,1,211.704999347439,1.12726970509192,70,""
"MADEP_W1466_M1",21.6622931726402,23.0673230010799,50.1470588235294,34,1,215.027609554562,0.806882126568969,6,""
"MADEP_W1560_T1",25.8435273033033,27.3222459692664,109.117647058824,34,1,334.249026657398,1.20293366759078,112,""
"MADEP_W1571_T1",25.0424006825321,26.8944729709348,96.1176470588235,34,1,169.947866282241,0.87699484968503,112,""
"MADEP_W1574_T1",22.5876959350043,23.9660094902483,66.9117647058823,34,1,202.249965806676,1.15776451807668,112,""
"MADEP_W1588_T1",24.5707665382062,26.2578787123167,90.2941176470588,34,1,171.056848251185,0.795321067653799,115,""
"MADEP_W1590_T1",22.3039724027922,24.203930108866,62.3823529411765,34,1,317.408119813834,1.14156585655874,86,""
"MADEP_W1718_T1",29.8083064967773,32.4428267219904,191.205882352941,34,1,742.864244866885,1.04053531242142,104,""
"MADEP_W1721_T1",23.3000002143769,24.7952808731017,83.6176470588235,34,1,224.115012074185,0.833721910823187,89,""
"MADEP_W1722_T1",22.7970154253231,32.4328388085559,157.764705882353,34,1,350.44635214012,0.682585715811435,89,""
"MADEP_W1724_T1",22.9868312710276,24.2206548648292,74.6764705882353,34,1,182.447654830254,0.945738746343405,83,""
"MADEP_W1725_T1",22.9951914545549,24.2074535260859,74,34,1,178.2015746113,0.907640914522977,83,""
"MADEP_W1753_T1",21.8813066181622,24.5207855655201,64.4705882352941,34,1,275.341039828232,1.0707962223278,108,""
"MADEP_W1761_T1",22.2096775346748,23.8855952965934,65.8529411764706,34,1,243.982830788254,1.12292669603944,108,""
"MADEP_W1769_T1",22.7780603318343,24.1519641098882,62.9705882352941,34,1,269.194837218898,1.19334466447112,108,""
"MADEP_W1773_T1",24.3526470660732,30.5009395279175,147.029411764706,34,1,364.521176262488,1.4666947000025,106,"Flag"
