"site","totalObs","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","flag"
"MADEP_W0013_T1",51,17.0569964255647,20.6336742795969,1.5,2,0.0588235294117647,485.022410662867,0.813446500569316,""
"MADEP_W0014_T1",51,17.4714580765636,22.8015222987123,3,2,0.0588235294117647,404.401305816183,1.12794085106742,"Flag"
"MADEP_W0096_T1",34,22.7719651248205,24.6514416355661,72.2058823529412,34,1,235.267641093238,0.445931601854654,""
"MADEP_W0099_T1",34,22.8655085888083,24.6624359850012,68.3823529411765,34,1,273.74945674968,0.386903955710398,""
"MADEP_W0124_T1",34,20.612282710055,22.0084242638476,30.4705882352941,34,1,480.179512807766,0.365106681389107,""
"MADEP_W0128_T1",34,22.268790620017,23.3752145880705,87.2352941176471,34,1,274.497524074028,0.632425326541049,""
"MADEP_W0221_T1",72,24.522541097574,27.1618030491787,111.705882352941,34,1,240.415861450265,0.51316725095614,""
"MADEP_W0263_T1",72,22.7220674239177,24.9659610062311,90,34,1,220.736430660381,0.466428712002935,""
"MADEP_W0271_T1",72,20.047519151633,21.9428383194006,32.8823529411765,34,1,295.003784391599,0.434925276670387,""
"MADEP_W0408_T1",117,23.7930063047258,25.1463698522622,80.4117647058823,34,1,212.60949943439,0.546958627006075,""
"MADEP_W0409_T1",117,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W0423_T1",117,26.2684318964718,27.4389116307097,117.941176470588,34,1,245.745804826727,0.593254094772647,""
"MADEP_W0448_T1",97,21.5180336591073,23.8474405838601,37.6470588235294,34,1,477.023020522922,0.8484029699319,"Flag"
"MADEP_W0454_T1",89,22.0762958780736,25.6752014555636,68.5,34,1,307.703422039592,1.08024154704437,"Flag"
"MADEP_W0486_T1",86,23.8130751653319,25.4690493798071,111.117647058824,34,1,259.63093029237,0.431676206669671,""
"MADEP_W0487_T1",86,21.6355508158325,23.6150566218321,66.7941176470588,34,1,279.121188888291,0.614112152768676,""
"MADEP_W0494_T1",99,24.1224131097351,25.4933154046317,101.441176470588,34,1,248.340920206372,0.513120115647257,""
"MADEP_W0514_T1",110,22.6537528621607,23.7912810696423,80.8823529411765,34,1,231.557184431924,0.646740922879493,""
"MADEP_W0551_T1",95,19.9745573043461,21.0746388761741,25.6470588235294,34,1,519.793670565425,0.334796410768603,""
"MADEP_W0557_T1",100,24.1808117489075,25.6231181826017,86.8529411764706,34,1,184.521630768925,0.47600625064541,""
"MADEP_W0568_T1",48,25.2872178254383,26.5721401917516,111.911764705882,34,1,207.400106609752,0.649984332251882,""
"MADEP_W0624_T1",102,22.6124169856876,23.7635537713362,77.8823529411765,34,1,271.248502248583,0.465949540362455,""
"MADEP_W0661_T1",102,23.2191157185237,24.419315231833,85.1470588235294,34,1,230.781184105973,0.515266612049047,""
"MADEP_W0665_T1",102,22.2361430579206,23.3681740848674,78.5294117647059,34,1,286.129688008628,0.464702587756622,""
"MADEP_W0877_T1",97,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W0878_T1",97,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W0889_T1",97,22.024160898559,22.9923875983127,77.0294117647059,34,1,276.256166893517,0.613550463539505,""
"MADEP_W0989_T1",25,20.4530643882055,21.9867962531624,40.4117647058824,34,1,405.463839821856,0.37470202160538,""
"MADEP_W0995_T1",86,18.9630168212978,20.2591767226158,21.8484848484848,33,0.970588235294118,449.227868312883,0.523675261451544,""
"MADEP_W0998_T1",86,23.811760401013,25.3507006088053,104.5,34,1,234.496592603029,0.46243325150978,""
"MADEP_W1022_T1",110,23.0364420404004,24.3282487262087,79.2941176470588,34,1,230.729840940826,0.457577692260385,""
"MADEP_W1031_T1",119,23.8503746384422,25.8160260975848,127.382352941176,34,1,304.192274490802,0.444061094955596,""
"MADEP_W1061_T1",73,23.866887887131,24.9456322790045,121.617647058824,34,1,282.513582405133,0.473924535372057,""
"MADEP_W1098_T1",114,24.2437151936496,25.6592548964803,103.794117647059,34,1,237.436858172697,0.580862008356662,""
"MADEP_W1100_T1",114,25.3805900721184,26.5390693595331,135.647058823529,34,1,427.001695214943,0.440634614617395,""
"MADEP_W1113_T1",114,25.8279664372019,27.1205306942424,132.294117647059,34,1,411.866263325411,0.466590703412165,""
"MADEP_W1119_T1",111,20.2151524151965,21.5282457571173,34.1764705882353,34,1,260.828296636519,0.706909654255845,""
"MADEP_W1151_T1",117,27.2719010651044,28.675234297504,122.705882352941,34,1,302.530531773429,0.623529613706954,""
"MADEP_W1157_T1",117,24.0222122234316,25.302544904996,98.9705882352941,34,1,204.706535159522,0.528145347937835,""
"MADEP_W1283_T1",96,21.5461296938287,23.0753133013808,65.4411764705882,34,1,277.225867632547,0.443637077732466,""
"MADEP_W1357_T1",38,20.0701529735347,21.168719021321,37.5,34,1,350.989096756581,0.47679679721922,""
"MADEP_W1358_T1",38,20.2520533458869,21.4711054198502,38.9705882352941,34,1,342.468788258558,0.464984866874927,""
"MADEP_W1410_T1",34,23.6127699200322,25.1286467663596,80.2352941176471,34,1,209.390130677374,0.562400115144627,""
"MADEP_W1419_T1",72,24.4455214130748,27.1487628847855,113.176470588235,34,1,272.974799917531,0.610759398948166,""
"MADEP_W1432_T1",112,25.3674414813097,26.4529672725996,121.911764705882,34,1,280.48888127911,0.506458556051732,""
"MADEP_W1450_T1",72,20.3835721131477,23.6434271902275,40.9117647058824,34,1,274.593675786144,0.518623569356819,""
"MADEP_W1464_T1",72,21.7172015520442,25.8193790545683,77.2647058823529,34,1,309.307867025391,0.967588072226882,"Flag"
"MADEP_W1466_M1",8,20.3418591773919,21.5334852335496,43.3235294117647,34,1,261.181499547414,0.570974388725416,""
"MADEP_W1548_T1",98,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W1549_M1",16,21.0723427380691,22.4651534984148,54.5882352941176,34,1,235.228794617264,1.77582373630136,"Flag"
"MADEP_W1549_T1",98,21.1069447104538,23.6416205594945,55.5294117647059,34,1,236.072443541589,0.97257032617681,"Flag"
"MADEP_W1552_M1",16,20.4923822724559,21.6984295153223,42.4411764705882,34,1,273.920337733514,0.849472591752306,"Flag"
"MADEP_W1552_T1",111,20.4797734045595,21.6984295153223,42.3235294117647,34,1,274.609145407635,0.539169890437275,""
"MADEP_W1554_T1",111,19.9896146778585,21.8641845612827,28.7647058823529,34,1,227.012384183452,0.681498608732933,""
"MADEP_W1558_T1",111,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W1560_T1",114,22.2444249172213,25.462659966798,79.3529411764706,34,1,218.858697429465,0.832290809764891,"Flag"
"MADEP_W1563_T1",114,19.1702229827206,20.2739637070296,15.7272727272727,33,0.970588235294118,348.929772381493,0.556345516267357,""
"MADEP_W1571_T1",114,25.0978549450821,26.7526824233365,103.235294117647,34,1,210.206020981114,0.538946028800079,""
"MADEP_W1573_T1",112,22.2204006354213,23.3610635039542,79.2352941176471,34,1,215.23324171775,0.584343760488217,""
"MADEP_W1574_T1",114,21.9260781310487,23.524384494623,83.2647058823529,34,1,264.422659121068,0.703271003523861,""
"MADEP_W1575_T1",113,22.3215829349545,25.2826175208656,81.2058823529412,34,1,218.56078887106,0.906949995728637,"Flag"
"MADEP_W1588_T1",117,24.9831025130748,26.4910941724947,96.9705882352941,34,1,157.81749902862,0.415130488208151,""
